species;cultivar_variety;family;plant_functional_type;population_year;refkey;gm_original;gm_original_SD;gm_original_SE;number_of_measurements;unit_original;gm_1bar;gm;method;variant;method_reference;air_pressure;PPFD;blue_light;temperature;temperature_type;AnCi_min;AnCi_max;AnCi_n;Ca_gas_exchange;Ca_gm;Ci_calc;rH;VPD;O2;flow_rate;cuvette_size;device_gas_exchange;fluorometer_spectroscope;hour;leaves_used;growth_location;growth_longitude;growth_latitude;growth_elevation;growth_environment;hydroponic;potted;pot_size;growth_irradiance;growth_temperature_day;growth_temperature_night;growth_rH;growth_Ca;growth_daylength;plant_age;An;gs_CO2;Ci;Cc;Ci-Cc;Rd;Rl;photorespiration;Gammastar;Cistar;Vcmax_Ci;Vcmax_Ci_25;Vcmax_Cc;Vcmax_Cc_25;Rubisco_constants_Ci_reference;Rubisco_constants_Cc_reference;Jmax_Ci;Jmax_Cc;TPU;Vpmax;J_fluorescence;kCA_activity;CA_activity;Delta_18O;Delta_13C;delta_13C;bulk_elastic_modulus;K_leaf;K_xylem;K_outside_xylem;N_g_m2;N_%DW;K_g_m2;K_%DW;P_g_m2;P_%DW;N%_Rubisco;N%_bioenergetics;N%_light_harvesting;N%_photosynthetic_apparatus;N%_cell_wall;Soluble_Protein;Rubisco;Rubisco_activity;Rubisco_activation_state;Chl_a;Chl_b;Chl_total;Chl_a/b;leaf_starch_%DW;leaf_starch_g_m2;LMA;leaf_width;T_leaf;D_leaf;T_mesophyll;T_palisade_mesophyll;T_spongy_mesophyll;fias_mesophyll;interveinal_distance;T_epidermis_adaxial;T_epidermis_abaxial;stomatal_index;stomatal_density;stomatal_density_adaxial;stomatal_density_abaxial;stomatal_area;stomatal_area_adaxial;stomatal_area_abaxial;stomatal_length;stomatal_length_adaxial;stomatal_length_abaxial;stomatal_width;T_cw;T_cyt;T_chloroplast;chloroplast_length;chloroplast_width;chloroplast_surface_area;Sm;Sc;Sb;ls_rel;lm_rel;lb_rel;Ls;Lm;location_in_reference;outlier;included_in_Knauer_et_al_2022;mesophyll_thickness;stomatal_conductance;substomatal_conc;compensation_point;ias_conductance;mesophyll_conductance*;d_mesophyll_conductance*;d_stomatal_conductance;d_ias_conductance;gamma;dgamma_low;dgamma_high;tau;dtau_low;dtau_high
Citrus limon;;Rutaceae;evergreen angiosperms;;Syvertsen_1995;0,149;;;3,0;mol m-2 s-1 bar-1;0,142;0,142;I;single point;Lloyd_1992;95,3;;;25,0;leaf;;;;346,0;346,0;;65,0;1,1;;;;;;;representative leaves of healthy appearance;;;;;;0;1;;;;;;;;730,0;12,9;0,106;242,4;135,1;107,3;;;;;;;;76,83;76,83;Jordan_1984;;;;;;;;;;;;;;;;3,011;3,422;;;;;;;;;;;;;;;;0,431;;;;88,0;;257,0;0,513;239,0;;;0,36;;;;;;;;;;;;;;;;;;;2,5;;26,4;10,2;;;;;;;Table 1: Sun lemon;0;1;239,0;0,106;242,4;39,8982;1,2929151780214694;0,063703137453593;0,006370313745359301;0,0106;0,12929151780214695;0,16424044464661594;0,021160124565639205;0,02491871572013818;0,3191115500910832;0,022238444788826695;0,023598225616327684
Citrus paradisi;;Rutaceae;evergreen angiosperms;;Syvertsen_1995;0,208;;;2,0;mol m-2 s-1 bar-1;0,198;0,198;I;single point;Lloyd_1992;95,3;;;25,0;leaf;;;;346,0;346,0;;65,0;1,1;;;;;;;representative leaves of healthy appearance;;;;;;0;1;;;;;;;;730,0;20,4;0,219;245,5;145,7;99,9;;;;;;;;105,37;105,37;Jordan_1984;;;;;;;;;;;;;;;;3,838;3,554;;;;;;;;;;;;;;;;0,601;;;;108,0;;340,0;0,527;319,0;;;0,43;;;;;;;;;;;;;;;;;;;2,8;;26,2;11,3;;;;;;;Table 1: Sun grapefruit;0;1;319,0;0,219;245,5;39,8982;1,1570262351555765;0,09922092121761579;0,00992209212176158;0,021900000000000003;0,11570262351555766;0,3785592334652228;0,050420131315879524;0,056756864909961124;0,4265540853023946;0,03113175670364343;0,03304500551632705
Cucumis sativus;cv. Jinchun 4;Cucurbitaceae;C3 annual herbaceous;;Lu_2019b;0,206;;0,02;6,0;mol m-2 s-1;0,206;0,206;F;variable J;Harley_1992;;1200,0;10,0;25,0;leaf;50,0;1000,0;;400,0;400,0;;45,0;1,74;;500,0;;LI-6400XT;LI-6400-40;;nonsenescent fully expanded leaves;;;;;environmentally controlled growth chamber;1;0;;600,0;28,0;22,0;45,0;380,0;14,0;35,0;21,2;0,346;;;;;;;;;;;;;;;;;;;157,0;;;;;;;10,9;16,6;31,2;;;0,824;3,98;;;;;;;;;;;;;;;;;;20,7;;130,8;0,134;;;;0,232;;;;;;;;;;;;;;;0,097;;;;;;13,9;12,17;;;;;;;Table 2: CK (Control);0;1;108,01339555771412;0,346;338,72832369942194;39,8982;1,843638632370397;0,07094331634826749;0,007094331634826749;0,0346;0,1843638632370397;0,3746871476815315;0,0489072395619104;0,057541274140179566;0,2807167940670139;0,019205271222386355;0,02131176495922693
Cupressus sempervirens;;Cupressaceae;evergreen gymnosperms;;Veromann-Juergenson_2017;0,039;;;;mol m-2 s-1;0,039;0,039;F;variable J;Harley_1992;;1000,0;10,0;25,0;leaf;50,0;2000,0;;400,0;400,0;250,0;53,0;1,5;;;8,0;GFS-3000;PAM 3055-FL;;fully mature non-senescent foliage;;;;;controlled-conditions phytotron;0;0;;1000,0;25,0;22,0;60,0;;13,0;;10,91;0,099;;;148,0;;;;;;;;;;;;;;;;;;;;;;;;;;3,829;1,242;;;;;;;;;;;;;;;;;;;;308,3;;416,0;0,741;389,6;;;0,063;;;;;;;;;;;;;;;0,91;0,3;2,81;;;;9,91;8,28;;16,76;61,42;21,82;;;personal communication Veromann-Juergenson (2020);0;1;389,6;0,099;289,7979797979798;39,8982;0,13879922310253584;0,04365750145446186;0,004365750145446186;0,0099;0,013879922310253584;1,4279830780416738;0,18621654876768456;0,21405692785081087;0,8860635373634551;0,07452492078264128;0,08307818206806539
Cupressus sempervirens;;Cupressaceae;evergreen gymnosperms;;Veromann-Juergenson_2017;0,062;;;;mol m-2 s-1;0,062;0,062;C;;Ethier_2004;;1000,0;10,0;25,0;leaf;50,0;2000,0;;400,0;;;53,0;1,5;;;8,0;GFS-3000;;;fully mature non-senescent foliage;;;;;controlled-conditions phytotron;0;0;;1000,0;25,0;22,0;60,0;;13,0;;10,91;0,099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,829;1,242;;;;;;;;;;;;;;;;;;;;308,3;;416,0;0,741;389,6;;;0,063;;;;;;;;;;;;;;;0,91;0,3;2,81;;;;9,91;8,28;;;;;;;personal communication Veromann-Juergenson (2020);0;1;389,6;0,099;289,7979797979798;39,8982;0,13879922310253584;0,04365750145446186;0,004365750145446186;0,0099;0,013879922310253584;1,427437661571954;0,18727503686890112;0,2147050543289577;0,8858854290577279;0,07219563717047439;0,08383554009462735
Cycas revoluta;;Cycadaceae;evergreen gymnosperms;;Veromann-Juergenson_2017;0,046;;;;mol m-2 s-1;0,046;0,046;F;variable J;Harley_1992;;1000,0;10,0;25,0;leaf;50,0;2000,0;;400,0;400,0;250,0;53,0;1,5;;;8,0;GFS-3000;PAM 3055-FL;;fully mature non-senescent foliage;;;;;controlled-conditions phytotron;0;0;;1000,0;25,0;22,0;60,0;;13,0;;4,17;0,023;;;76,9;;;;;;;;;;;;;;;;;;;;;;;;;;1,951;0,97;;;;;;;;;;;;;;;;;;;;201,1;;310,1;0,649;256,5;;;0,2;;;;;;;;;;;;;;;0,34;0,215;5,36;;;;10,1;9,91;;64,19;18,27;17,54;;;personal communication Veromann-Juergenson (2020);0;1;256,5;0,023;218,69565217391303;39,8982;0,6692803282372346;0,023322479986705384;0,0023322479986705386;0,0023;0,06692803282372346;0,06893479701100988;0,008983859975694897;0,010137584813680017;0,26706961424852654;0,018405156677187506;0,02010391310476689
Cycas revoluta;;Cycadaceae;evergreen gymnosperms;;Veromann-Juergenson_2017;0,092;;;;mol m-2 s-1;0,092;0,092;C;;Ethier_2004;;1000,0;10,0;25,0;leaf;50,0;2000,0;;400,0;;;53,0;1,5;;;8,0;GFS-3000;;;fully mature non-senescent foliage;;;;;controlled-conditions phytotron;0;0;;1000,0;25,0;22,0;60,0;;13,0;;4,17;0,023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,951;0,97;;;;;;;;;;;;;;;;;;;;201,1;;310,1;0,649;256,5;;;0,2;;;;;;;;;;;;;;;0,34;0,215;5,36;;;;10,1;9,91;;;;;;;personal communication Veromann-Juergenson (2020);0;1;256,5;0,023;218,69565217391303;39,8982;0,6692803282372346;0,023322479986705384;0,0023322479986705386;0,0023;0,06692803282372346;0,06855990550240784;0,009057016385214875;0,010727869657247688;0,26749313306945327;0,018796531361684243;0,019777113652707123
Cypripedium flavum;;Orchidaceae;C3 perennial herbaceous;;Yang_2018a;0,05;;;;mol m-2 s-1;0,05;0,07;F;variable J;Harley_1992;;1200,0;;20,0;leaf;0,0;2000,0;;380,0;380,0;;60,0;1,5;;;2,0;;LI-6400-40;;fully expanded and healthy leaves (60 days old);;99,83;27,8;3260,0;outdoors;0;0;;1000,0;19,0;10,0;72,0;;;;10,4;0,26;302,7;99,2;203,5;0,95;;;;;33,3;52,2;;;;;;;;;86,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,7;;312,6;;224,2;;;0,273;;46,7;42,7;;;;33,3;;;4088,0;;;;;0,43;;;;;;6,62;3,92;;;;;;;Appendix S3;0;1;224,2;0,26;302,7;39,8982;1,0451833261518342;0,03957354934403037;0,003957354934403037;0,026000000000000002;0,10451833261518342;0,49550608684269853;0,06478720233954005;0,07630055029305755;0,2791202527893598;0,0194539104945321;0,02037795665353781
Cypripedium tibeticum;;Orchidaceae;C3 perennial herbaceous;;Yang_2018a;0,04;;;;mol m-2 s-1;0,04;0,056;F;variable J;Harley_1992;;1200,0;;20,0;leaf;0,0;2000,0;;380,0;380,0;;60,0;1,5;;;2,0;;LI-6400-40;;fully expanded and healthy leaves (60 days old);;99,83;27,8;3260,0;outdoors;0;0;;1000,0;19,0;10,0;72,0;;;;7,73;0,17;295,8;112,1;183,7;0,87;;;;;29,4;46,08;;;;;;;;;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,0;;275,2;;182,1;;;0,294;;51,0;43,0;;;;28,4;;;3145,0;;;;;0,41;;;;;;6,3;3,83;;;;;;;Appendix S3;0;1;182,1;0,17;295,8;39,8982;1,385807216713292;0,030206899677923327;0,003020689967792333;0,017;0,1385807216713292;0,24545629407116765;0,03191701292039803;0,03755487715197853;0,21000565844275143;0,014366244591932198;0,015907718595310982
Cypripedium yunnanense;;Orchidaceae;C3 perennial herbaceous;;Yang_2018a;0,05;;;;mol m-2 s-1;0,05;0,07;F;variable J;Harley_1992;;1200,0;;20,0;leaf;0,0;2000,0;;380,0;380,0;;60,0;1,5;;;2,0;;LI-6400-40;;fully expanded and healthy leaves (60 days old);;99,83;27,8;3260,0;outdoors;0;0;;1000,0;19,0;10,0;72,0;;;;9,32;0,24;297,4;113,3;184,1;1,69;;;;;41,1;64,42;;;;;;;;;96,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45,4;;290,1;;191,4;;;0,247;;48,9;44,6;;;;36,9;;;2925,0;;;;;0,51;;;;;;6,42;4,2;;;;;;;Appendix S3;0;1;191,4;0,24;297,4;39,8982;1,1076956592380907;0,03619392175122659;0,0036193921751226594;0,024;0,11076956592380907;0,43410510669706537;0,05782297972473227;0,06271650245145205;0,2586447472994584;0,018580670223851292;0,019277661524209455
Ephedra minuta;;Ephedraceae;evergreen gymnosperms;;Veromann-Juergenson_2017;0,01;;;;mol m-2 s-1;0,01;0,01;F;variable J;Harley_1992;;1000,0;10,0;25,0;leaf;50,0;2000,0;;400,0;400,0;250,0;53,0;1,5;;;8,0;GFS-3000;PAM 3055-FL;;fully mature non-senescent foliage;;;;;controlled-conditions phytotron;0;0;;1000,0;25,0;22,0;60,0;;13,0;;4,52;0,021;;;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;1,597;2,335;;;;;;;;;;;;;;;;;;;;68,4;;488,9;0,14;431,0;;;0,21;;;;;;;;;;;;;;;0,731;0,299;3,19;;;;10,98;9,53;;24,76;56,59;18,65;;;personal communication Veromann-Juergenson (2020);0;0;431,0;0,021;184,7619047619048;39,8982;0,4182225624187777;0,03120174240627758;0,003120174240627758;0,0021000000000000003;0,04182225624187777;0,10049343008040951;0,013397504873075852;0,015350063912120501;0,3961545177045218;0,02828707196828717;0,03041724967932047
Ephedra minuta;;Ephedraceae;evergreen gymnosperms;;Veromann-Juergenson_2017;0,007;;;;mol m-2 s-1;0,007;0,007;C;;Ethier_2004;;1000,0;10,0;25,0;leaf;50,0;2000,0;;400,0;;;53,0;1,5;;;8,0;GFS-3000;;;fully mature non-senescent foliage;;;;;controlled-conditions phytotron;0;0;;1000,0;25,0;22,0;60,0;;13,0;;4,52;0,021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,597;2,335;;;;;;;;;;;;;;;;;;;;68,4;;488,9;0,14;431,0;;;0,21;;;;;;;;;;;;;;;0,731;0,299;3,19;;;;10,98;9,53;;;;;;;personal communication Veromann-Juergenson (2020);0;0;431,0;0,021;184,7619047619048;39,8982;0,4182225624187777;0,03120174240627758;0,003120174240627758;0,0021000000000000003;0,04182225624187777;0,10042729443355866;0,013320139175455464;0,015327563753774101;0,3964429817413836;0,028929326039255743;0,03049944299109264
Fallopia japonica;;Polygonaceae;C3 perennial herbaceous;;Kogami_2001;0,193;0,015;;6,0;mol m-2 s-1 bar-1;0,196;0,196;I;slope method;Evans_1986;101,3;470,0;;25,0;leaf;;;;346,0;346,0;;;;;;;;;;third leaf from the top of the shoot;;138,42;34,12;10,0;natural;0;0;;;;;;;;;9,85;0,18;292,2;239,9;52,3;;;;;;;;;;;;;;;;;;;;;-29,91;;;;;0,98;2,322;;;;;;;;;;;;;;;;0,19;;;;42,2;;;;166,0;;;0,49;;33,0;;;;;;;;;;;;;;;;;;;22,0;21,0;;;;;;;Table 2: Lowland;0;1;166,0;0,18;292,2;39,8982;2,5336897004366516;0,03904054588591917;0,003904054588591917;0,018;0,25336897004366515;0,14243733259501506;0,01881607247980209;0,02089936697479211;0,17628780818771872;0,012080425177717152;0,012923020144300995
Fraxinus ornus;;Oleaceae;deciduous angiosperms;;Fini_2016;0,149;;0,015;4,0;mol m-2 s-1;0,149;0,122;F;variable J;Harley_1992;;1300,0;;28,0;leaf;;;;;;;50,0;1,89;;;6,0;LI-6400;Mini-PAM;;fully expanded leaves;;;;;screenhouse;0;1;2,5;580,0;;;;;;730,0;8,19;0,076;233,0;165,0;68,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64,5;;;0,408;;;;;;;;;;;;;;;0,21;;;;;;11,2;8,3;;;;;;;Figure 1c: the highest value (shade leaves!);0;1;64,5;0,076;233,0;39,8982;5,4295755744715555;0,042412862024072275;0,004241286202407228;0,0076;0,5429575574471556;0,02797352850690721;0,0036237638132418787;0,004161895055935828;0,12524605798386024;0,00840081074618565;0,009372890349461926
Gossypium barbadense;cv. Xinhai 28;Malvaceae;C3 perennial herbaceous;year 2015;Han_2019a;0,306;;0,011;6,0;mol m-2 s-1;0,306;0,221;F;variable J;Harley_1992;;2000,0;10,0;30,0;leaf;;;12,0;400,0;400,0;;;;21,0;;2,0;LI-6400;LI-6400-40;;topmost fully expanded leaf on the main stem;;86,05;45,32;;field grown;0;0;;;;;;;;100,0;32,66;0,295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;206,7;0,38;;;;0,336;;;;;;;;;;;;;;;0,21;;2,07;;;;36,95;25,96;;;;;;;Figure S3: second highest value 2015;0;1;170,69089343868123;0,295;289,2881355932203;39,8982;1,6896406904542673;0,13095957510198683;0,013095957510198684;0,0295;0,16896406904542674;0,34954985400092636;0,045417237053834936;0,053552362512428786;0,40376015246154445;0,02817705101965612;0,031710176191337314
Gossypium barbadense;cv. Xinhai 28;Malvaceae;C3 perennial herbaceous;year 2016;Han_2019a;0,28;;0,023;6,0;mol m-2 s-1;0,28;0,203;F;variable J;Harley_1992;;2000,0;10,0;30,0;leaf;;;12,0;400,0;400,0;;;;21,0;;2,0;LI-6400;LI-6400-40;;topmost fully expanded leaf on the main stem;;86,05;45,32;;field grown;0;0;;;;;;;;100,0;29,92;0,249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;340,0;0,23;;;;0,385;;;;;;;;;;;;;;;0,18;;2,06;;;;36,8;27,15;;;;;;;Figure S3: second highest value 2016;0;1;280,76876521118345;0,249;279,83935742971886;39,8982;1,177002462587582;0,12469723960868975;0,012469723960868977;0,024900000000000002;0,11770024625875819;0,4242069463510163;0,05610312941727702;0,06565120873208374;0,47776222681850034;0,034573324548155704;0,037270323431827235
Gossypium barbadense;cv. Xinhai 28;Malvaceae;C3 perennial herbaceous;year 2015;Han_2019a;0,421;;0,069;;mol m-2 s-1;0,421;0,304;C;;Sharkey_2016;;2000,0;10,0;30,0;leaf;;;12,0;400,0;;;;;21,0;;2,0;LI-6400;LI-6400-40;;topmost fully expanded leaf on the main stem;;86,05;45,32;;field grown;0;0;;;;;;;;100,0;32,66;0,295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;206,7;0,38;;;;0,336;;;;;;;;;;;;;;;0,21;;2,07;;;;36,95;25,96;;;;;;;Figure S3: second highest value 2015;0;1;170,69089343868123;0,295;289,2881355932203;39,8982;1,6896406904542673;0,13095957510198683;0,013095957510198684;0,0295;0,16896406904542674;0,34767251496109824;0,04510328357416826;0,053362753221646686;0,4048015260288621;0,029060771411268116;0,03180476196357168
Gossypium barbadense;cv. Xinhai 28;Malvaceae;C3 perennial herbaceous;year 2016;Han_2019a;0,491;;0,058;;mol m-2 s-1;0,491;0,355;C;;Sharkey_2016;;2000,0;10,0;30,0;leaf;;;12,0;400,0;;;;;21,0;;2,0;LI-6400;LI-6400-40;;topmost fully expanded leaf on the main stem;;86,05;45,32;;field grown;0;0;;;;;;;;100,0;29,92;0,249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;340,0;0,23;;;;0,385;;;;;;;;;;;;;;;0,18;;2,06;;;;36,8;27,15;;;;;;;Figure S3: second highest value 2016;0;1;280,76876521118345;0,249;279,83935742971886;39,8982;1,177002462587582;0,12469723960868975;0,012469723960868977;0,024900000000000002;0,11770024625875819;0,4225804648109993;0,05459458654983296;0,062279704901121224;0,47660413339278385;0,03472322830090768;0,03773422493885459
Gossypium hirsutum;cv. Xinluzao 45;Malvaceae;C3 perennial herbaceous;year 2015;Han_2019a;0,513;;0,079;6,0;mol m-2 s-1;0,513;0,371;F;variable J;Harley_1992;;2000,0;10,0;30,0;leaf;;;12,0;400,0;400,0;;;;21,0;;2,0;LI-6400;LI-6400-40;;topmost fully expanded leaf on the main stem;;86,05;45,32;;field grown;0;0;;;;;;;;100,0;41,47;0,473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;311,0;0,32;;;;0,445;;;;;;;;;;;;;;;0,17;;1,8;;;;46,11;27,8;;;;;;;Figure S3: highest value 2015;0;1;256,82084111964133;0,473;312,3255813953488;39,8982;1,4872883667223546;0,15222405247076984;0,015222405247076985;0,0473;0,14872883667223546;0,6373996273227718;0,08309817549461151;0,09614659087721311;0,46862440319679344;0,03435782702801271;0,0377759191956375
Gossypium hirsutum;cv. Xinluzao 45;Malvaceae;C3 perennial herbaceous;year 2016;Han_2019a;0,494;;0,045;6,0;mol m-2 s-1;0,494;0,357;F;variable J;Harley_1992;;2000,0;10,0;30,0;leaf;;;12,0;400,0;400,0;;;;21,0;;2,0;LI-6400;LI-6400-40;;topmost fully expanded leaf on the main stem;;86,05;45,32;;field grown;0;0;;;;;;;;100,0;38,58;0,359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;380,0;0,22;;;;0,395;;;;;;;;;;;;;;;0,16;;1,45;;;;41,2;30,44;;;;;;;Figure S3: highest value 2016;0;1;313,8003846477933;0,359;292,53481894150417;39,8982;1,0804609072147113;0,15270945344994846;0,015270945344994846;0,0359;0,10804609072147114;0,6638130992772902;0,0860353973434348;0,1039382618674557;0,5568567512296462;0,04031087160224811;0,04614956283635663
Gossypium hirsutum;cv. Xinluzao 45;Malvaceae;C3 perennial herbaceous;year 2015;Han_2019a;0,539;;0,073;;mol m-2 s-1;0,539;0,39;C;;Sharkey_2016;;2000,0;10,0;30,0;leaf;;;12,0;400,0;;;;;21,0;;2,0;LI-6400;LI-6400-40;;topmost fully expanded leaf on the main stem;;86,05;45,32;;field grown;0;0;;;;;;;;100,0;41,47;0,473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;311,0;0,32;;;;0,445;;;;;;;;;;;;;;;0,17;;1,8;;;;46,11;27,8;;;;;;;Figure S3: highest value 2015;0;1;256,82084111964133;0,473;312,3255813953488;39,8982;1,4872883667223546;0,15222405247076984;0,015222405247076985;0,0473;0,14872883667223546;0,6353725683543404;0,08314189406880013;0,09709357651219508;0,46784212837004624;0,03352307041289121;0,03695854414253397
Gossypium hirsutum;cv. Xinluzao 45;Malvaceae;C3 perennial herbaceous;year 2016;Han_2019a;0,668;;0,054;;mol m-2 s-1;0,668;0,483;C;;Sharkey_2016;;2000,0;10,0;30,0;leaf;;;12,0;400,0;;;;;21,0;;2,0;LI-6400;LI-6400-40;;topmost fully expanded leaf on the main stem;;86,05;45,32;;field grown;0;0;;;;;;;;100,0;38,58;0,359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;380,0;0,22;;;;0,395;;;;;;;;;;;;;;;0,16;;1,45;;;;41,2;30,44;;;;;;;Figure S3: highest value 2016;0;1;313,8003846477933;0,359;292,53481894150417;39,8982;1,0804609072147113;0,15270945344994846;0,015270945344994846;0,0359;0,10804609072147114;0,6648352694634274;0,08687386804683683;0,10154782909480542;0,558398588502178;0,041936253931798784;0,04503085302555532
Gossypium hirsutum;Xinluzao 45;Malvaceae;C3 perennial herbaceous;;Han_2018;0,37;;0,01;;mol m-2 s-1;0,37;0,267;F;variable J;Harley_1992;;2000,0;10,0;30,0;leaf;;;;400,0;400,0;;41,0;2,5;;300,0;;LI-6400;LI-6400-40;;topmost fully expanded leaf on the main stem;;86,05;45,32;;field grown;0;0;;;;;;;;105,0;37,26;0,387;;;;;;;;;;;;;;;;;;;345,4;;;;;;;;;;4,641;3,62;;;;;;;;;;;;;;0,435;0,138;0,573;3,14;;;128,2;;411,0;0,32;375,0;195,0;173,0;0,47;;;;;;;;;;;;;;;0,18;0,24;1,79;;;26,45;39,96;29,66;;29,02;29,57;41,41;;;Table 1: Leaf;0;1;375,0;0,387;303,72093023255815;39,8982;1,0758011996085306;0,1412311970509726;0,01412311970509726;0,038700000000000005;0,10758011996085307;0,7192810709488464;0,09390791994164616;0,10844021179868812;0,5363450534414977;0,03979062156058971;0,043400887701874
Gossypium hirsutum;Xinluzao 45;Malvaceae;C3 perennial herbaceous;;Han_2018;0,48;;0,1;;mol m-2 s-1;0,48;0,347;C;;Sharkey_2016;;2000,0;10,0;30,0;leaf;;;12,0;400,0;;;41,0;2,5;;300,0;;LI-6400;LI-6400-40;;topmost fully expanded leaf on the main stem;;86,05;45,32;;field grown;0;0;;;;;;;;105,0;37,26;0,387;;;;;;;;;;;;;;;;;;;345,4;;;;;;;;;;4,641;3,62;;;;;;;;;;;;;;0,435;0,138;0,573;3,14;;;128,2;;411,0;0,32;375,0;195,0;173,0;0,47;;;;;;;;;;;;;;;0,18;0,24;1,79;;;26,45;39,96;29,66;;;;;;;Table 1: Leaf;0;1;375,0;0,387;303,72093023255815;39,8982;1,0758011996085306;0,1412311970509726;0,01412311970509726;0,038700000000000005;0,10758011996085307;0,7205970137539321;0,09825522276605847;0,10849577243856601;0,5356575643593431;0,0388509713376895;0,0436334777464249
Helianthus annuus;;Asteraceae;C3 annual herbaceous;;Roig-Oliver_2020a;0,068;;0,003;5,0;mol m-2 s-1;0,068;0,068;F;variable J;Harley_1992;;1500,0;10,0;25,0;block;50,0;1500,0;;400,0;400,0;;53,0;1,5;;;2,0;LI-6400XT;Li-6400-40;;fully developed leaf;;;;;;0;1;3,0;250,0;22,0;22,0;;;12,0;;10,99;0,341;;;;;1,33;;;;;;;;;;;;;;97,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193,2;;160,4;68,5;92,0;0,348;;14,01;10,48;;;;;;;;;;;;0,16;0,45;2,66;5,1;;;22,32;19,57;;;;;;;Figure 1C: CL (control);0;1;160,4;0,341;367,7712609970674;39,8982;1,8622599956082302;0,033519069747844576;0,003351906974784458;0,034100000000000005;0,18622599956082303;0,3665194045260175;0,04760983556408349;0,055480715971384154;0,1908510720190248;0,013063081916898561;0,014176441866016104
Juglans nigra x regia;;Juglandaceae;deciduous angiosperms;;Piel_2002;0,192;;0,014;8,0;mol m-2 s-1;0,192;0,192;F;constant J;Harley_1992;;125,0;;25,0;leaf;;;;368,0;368,0;;64,0;1,15;20,0;;6,0;LI-6400;Mini-PAM;;detached fully expanded leaves, petiole kept in distilled water;France;;;;outdoors;0;1;35,0;;;;;;;1096,0;15,8;0,239;;;;1,05;0,6;;45,8;48,8;52,61;52,61;87,26;87,26;;;108,67;111,15;;;;;;;;;;;;;1,46;2,351;;;;;;;;;;;2,97;;;;;;;;;62,1;;150,0;;;;;0,168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 2: sun leaves;0;0;123,86857288728685;0,239;301,89121338912133;39,8982;1,16416243572299;0,06030695168398739;0,006030695168398739;0,0239;0,11641624357229902;0,41070766989378954;0,05365735762017154;0,06140046382676145;0,32731422512581104;0,023344703925111288;0,025284977596055802
Juniperus oxycedrus;;Cupressaceae;evergreen gymnosperms;;Carriqui_2020;0,047;;0,015;5,0;mol m-2 s-1;0,047;0,047;F;variable J;Harley_1992;;1500,0;10,0;25,0;block;50,0;2000,0;12,0;400,0;;;45,0;1,75;;;2,0;LI-6400;LI-6400-40;10:00-17:00;young fully expanded leaves;University of Balearic Islands, Mallorca, Spain;;;;outdoors;0;1;15,0;;;;;;;;6,3;0,059;272,0;111,0;161,0;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;197,0;;425,0;0,46;320,0;;;0,275;;;;;;;;;;;;;;;0,528;0,248;;4,38;;;24,5;16,1;;29,5;41,8;28,7;;;Table 1;0;1;320,0;0,059;272,0;39,8982;0,7376462680161553;0,027143262137562053;0,0027143262137562054;0,0059;0,07376462680161554;0,16023430303299577;0,021820139537177985;0,023692938711674633;0,2746532515106498;0,01969454862245923;0,02056719236262039
